epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.31634,1.48242,2.46721,1.76596,0.00321,0.96429,0.37939,0.13141,1.70879,3.34701,2.54865,0.00046,0.00046,0.00046
2,16.2701,1.4627,2.12581,1.79369,0.29169,0.375,0.29958,0.1235,1.87965,3.11605,2.88579,0.00090898,0.00090898,0.00090898
3,24.271,1.59362,2.08752,1.82676,0.29483,0.33929,0.19101,0.07178,2.1013,3.4305,3.17374,0.00132628,0.00132628,0.00132628
4,31.6544,1.62154,2.07084,1.86648,0.15452,0.19643,0.10724,0.03155,2.29892,6.82928,3.86075,0.0017119,0.0017119,0.0017119
5,38.9685,1.60986,1.95878,1.81943,0.27247,0.41071,0.29343,0.1015,2.10909,3.86081,3.20773,0.001736,0.001736,0.001736
6,46.9902,1.61857,1.91316,1.80496,0.30711,0.375,0.25082,0.07728,2.16463,2.813,2.99441,0.00167,0.00167,0.00167
7,53.7151,1.61275,1.9517,1.8734,0.2283,0.35714,0.23465,0.09492,1.99534,3.10829,2.71216,0.001604,0.001604,0.001604
8,61.7457,1.56309,1.83917,1.82356,0.53339,0.53571,0.47062,0.14894,2.08648,2.17493,2.74662,0.001538,0.001538,0.001538
9,68.4208,1.60476,1.79245,1.79788,0.23985,0.50149,0.29588,0.09993,2.07278,2.42129,2.76438,0.001472,0.001472,0.001472
10,76.4116,1.59652,1.75524,1.80932,0.33131,0.28317,0.31662,0.1277,2.03488,2.22804,2.67803,0.001406,0.001406,0.001406
11,85.0047,1.5699,1.75531,1.78549,0.37111,0.55854,0.44352,0.17106,1.99112,2.23001,2.65153,0.00134,0.00134,0.00134
12,92.6233,1.53437,1.71448,1.77941,0.44463,0.44643,0.42703,0.1708,1.87237,1.87989,2.55233,0.001274,0.001274,0.001274
13,100.518,1.46938,1.56469,1.71256,0.44764,0.58929,0.49002,0.21609,1.9723,1.84622,2.67706,0.001208,0.001208,0.001208
14,107.202,1.52912,1.5634,1.7637,0.60443,0.70948,0.63497,0.27004,1.68662,1.63191,2.34884,0.001142,0.001142,0.001142
15,115.288,1.46527,1.56725,1.74364,0.70551,0.68456,0.71415,0.27402,1.8619,1.78184,2.43414,0.001076,0.001076,0.001076
16,121.97,1.42821,1.49649,1.68987,0.74704,0.63293,0.74726,0.3359,1.70052,1.4802,2.24704,0.00101,0.00101,0.00101
17,129.845,1.43115,1.47314,1.68606,0.73553,0.6953,0.68849,0.32107,1.7902,1.44856,2.38291,0.000944,0.000944,0.000944
18,136.834,1.4354,1.47715,1.68134,0.67009,0.71429,0.68553,0.32646,1.76074,1.534,2.34174,0.000878,0.000878,0.000878
19,144.375,1.39133,1.35964,1.65352,0.83143,0.71429,0.76835,0.39458,1.57851,1.39822,2.24262,0.000812,0.000812,0.000812
20,152.035,1.40103,1.34932,1.63154,0.73722,0.71429,0.72016,0.34384,1.64539,1.48974,2.26728,0.000746,0.000746,0.000746
21,160.869,1.40409,1.41552,1.88488,0.73416,0.64112,0.6647,0.30321,1.86631,1.60148,2.55941,0.00068,0.00068,0.00068
22,168.548,1.38672,1.2946,1.81255,0.8228,0.7463,0.74,0.30927,1.76659,1.48528,2.37787,0.000614,0.000614,0.000614
23,174.991,1.35411,1.21729,1.81352,0.79712,0.77182,0.79016,0.36506,1.673,1.3855,2.24072,0.000548,0.000548,0.000548
24,182.759,1.31669,1.1985,1.78621,0.84229,0.75,0.83905,0.41371,1.59734,1.31757,2.21508,0.000482,0.000482,0.000482
25,188.938,1.19913,1.1129,1.72094,0.77159,0.84457,0.84182,0.4547,1.51537,1.2549,2.08447,0.000416,0.000416,0.000416
26,197.787,1.27841,1.15747,1.72131,0.77172,0.85714,0.82963,0.4368,1.57845,1.2368,2.19928,0.00035,0.00035,0.00035
27,205.571,1.17977,1.08116,1.67379,0.84161,0.75915,0.84597,0.44524,1.54049,1.20831,2.15984,0.000284,0.000284,0.000284
28,213.296,1.20159,1.08176,1.66451,0.82758,0.82143,0.85293,0.47547,1.4621,1.17038,2.09484,0.000218,0.000218,0.000218
29,221.418,1.13502,0.99547,1.58997,0.83817,0.83929,0.83692,0.45036,1.50408,1.18271,2.10665,0.000152,0.000152,0.000152
30,228.55,1.10187,0.95876,1.58709,0.82464,0.85714,0.87111,0.47332,1.49413,1.10826,2.09926,8.6e-05,8.6e-05,8.6e-05
