epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.96687,1.92238,3.60821,1.78536,0.02192,0.28261,0.07373,0.02684,1.85066,3.53362,1.92684,2.858e-05,2.858e-05,2.858e-05
2,5.11726,1.8879,3.7067,1.68477,0.02157,0.30435,0.07425,0.02649,1.67727,3.51209,1.89668,6.90921e-05,6.90921e-05,6.90921e-05
3,6.20226,1.68203,3.5614,1.52679,0.01669,0.26087,0.09085,0.03911,1.74418,3.54292,1.93506,0.000106775,0.000106775,0.000106775
4,7.2986,1.56735,3.34225,1.45825,0.02024,0.32609,0.10356,0.04311,2.03411,3.48514,2.08585,0.000141628,0.000141628,0.000141628
5,8.46861,1.49162,3.0124,1.4455,0.02108,0.34783,0.13967,0.05745,2.12119,3.42669,2.09835,0.000173652,0.000173652,0.000173652
6,9.64615,1.4904,2.64391,1.37587,0.02378,0.3913,0.15533,0.05885,2.09224,3.39702,2.05942,0.000202847,0.000202847,0.000202847
7,11.3751,1.44405,2.50672,1.3843,0.01921,0.32609,0.14151,0.06186,2.04256,3.35903,1.98244,0.000229212,0.000229212,0.000229212
8,12.8806,1.42799,2.31977,1.3857,0.3664,0.1087,0.13473,0.05447,2.03107,3.3403,1.9777,0.000252747,0.000252747,0.000252747
9,14.0222,1.3872,2.21408,1.37645,0.02204,0.34783,0.12138,0.05282,2.08396,3.34474,1.99764,0.000273453,0.000273453,0.000273453
10,15.0881,1.50106,2.16389,1.39906,0.02411,0.36957,0.12953,0.04442,2.14102,3.37393,2.0379,0.00029133,0.00029133,0.00029133
11,16.1748,1.33701,2.01206,1.29665,0.0262,0.3913,0.10024,0.04349,2.17664,3.38898,2.07776,0.000306378,0.000306378,0.000306378
12,17.2361,1.47512,2.01455,1.36387,0.02119,0.32609,0.09527,0.04059,2.11438,3.37807,2.05116,0.000318596,0.000318596,0.000318596
13,18.2966,1.36877,1.9465,1.34193,0.02329,0.36957,0.13046,0.05439,2.07871,3.34507,2.04939,0.000327984,0.000327984,0.000327984
14,19.461,1.31064,1.78466,1.28461,0.14841,0.15217,0.12115,0.054,2.11965,3.28205,2.16049,0.000334543,0.000334543,0.000334543
15,20.9623,1.41603,1.97744,1.40905,0.69279,0.08696,0.11494,0.05292,2.21979,3.1294,2.27781,0.000338273,0.000338273,0.000338273
16,22.3002,1.35204,1.76699,1.27748,0.67914,0.08696,0.10903,0.05192,2.24163,3.12518,2.27771,0.000339173,0.000339173,0.000339173
17,24.7865,1.20637,1.72722,1.22944,0.49505,0.1087,0.12267,0.06051,2.16334,3.14048,2.19956,0.000337244,0.000337244,0.000337244
18,26.3853,1.24797,1.67824,1.26569,0.5479,0.1087,0.15231,0.06832,2.15906,3.13967,2.14614,0.000332485,0.000332485,0.000332485
19,27.4694,1.29887,1.78873,1.28721,0.41918,0.13043,0.14089,0.06777,2.15364,3.13783,2.15684,0.000324897,0.000324897,0.000324897
20,28.5714,1.1113,1.51533,1.17776,0.28497,0.1087,0.11598,0.06167,2.16278,3.17092,2.1798,0.00031448,0.00031448,0.00031448
21,31.2915,1.22918,1.80933,1.23449,0.2362,0.13043,0.10911,0.05727,2.25072,3.20246,2.20258,0.000301233,0.000301233,0.000301233
22,32.6834,1.21954,1.80982,1.24584,0.24716,0.15217,0.12714,0.06015,2.20625,3.12068,2.16775,0.000285157,0.000285157,0.000285157
23,33.8087,1.27733,1.75597,1.27058,0.26875,0.19565,0.13659,0.05805,2.18122,3.02311,2.18675,0.000266251,0.000266251,0.000266251
24,34.7978,1.1211,1.61332,1.20477,0.28883,0.23913,0.138,0.06182,2.15059,2.9271,2.27792,0.000244516,0.000244516,0.000244516
25,36.0176,1.26527,1.77089,1.27197,0.29398,0.21739,0.15076,0.07821,2.06291,2.84997,2.25539,0.000219952,0.000219952,0.000219952
26,37.5692,1.22781,1.66629,1.25502,0.32805,0.23913,0.15551,0.08247,2.01853,2.78274,2.22761,0.000192558,0.000192558,0.000192558
27,39.0186,1.14675,1.61257,1.20047,0.32375,0.23913,0.15569,0.08377,2.02233,2.77432,2.19831,0.000162334,0.000162334,0.000162334
28,40.0809,1.20242,1.63476,1.20331,0.42145,0.23913,0.17429,0.09614,2.00652,2.75096,2.17828,0.000129282,0.000129282,0.000129282
29,41.1625,1.1675,1.64715,1.19392,0.42145,0.23913,0.17429,0.09614,2.00652,2.75096,2.17828,9.33994e-05,9.33994e-05,9.33994e-05
30,42.1732,1.19361,1.69079,1.23083,0.41167,0.26087,0.18771,0.10879,1.97889,2.69404,2.13643,5.46878e-05,5.46878e-05,5.46878e-05
